post_type	post_status	count
reply	publish	36128
revision	inherit	32329
topic	publish	17015
attachment	inherit	8973
answer	draft	7206
species	publish	1809
glossary	publish	1728
reply	pending	814
question	draft	598
answer	publish	465
topic	pending	360
postman_sent_mail	private	250
question	publish	236
post	publish	154
species	private	17
species	draft	16
page	publish	8
forum	publish	7
reply	draft	4
frm_form_actions	publish	4
featured-item	publish	3
post	draft	2
species	trash	2
topic	closed	2
glossary	draft	2
frm_styles	publish	1
forum	private	1
post	trash	1
species	pending	1
forum	hidden	1
glossary	pending	1
